,quantity,price,city,date,year,total,month_of_year,region,region_type,latitude,longitude
0,1500,170.31,Абакан,2024-04-07,2024,255465.0,2024-04,Республика Хакасия,Республика,53.720976,91.442423
1,260,521.0,Ижевск,2024-11-25,2024,135460.0,2024-11,Удмуртская республика,Республика,56.848,53.204
2,180,521.0,Ижевск,2024-11-21,2024,93780.0,2024-11,Удмуртская республика,Республика,56.848,53.204
3,780,205.07692307692307,Ижевск,2024-11-18,2024,159960.0,2024-11,Удмуртская республика,Республика,56.848,53.204
4,370,212.2136,Ижевск,2024-11-18,2024,78519.032,2024-11,Удмуртская республика,Республика,56.848,53.204
5,4950,100.45454545454544,Ижевск,2024-05-15,2024,497250.0,2024-05,Удмуртская республика,Республика,56.848,53.204
6,3970,96.17358490566038,Ижевск,2024-02-10,2024,381809.1320754717,2024-02,Удмуртская республика,Республика,56.848,53.204
7,6000,99.5,Ижевск,2024-02-04,2024,597000.0,2024-02,Удмуртская республика,Республика,56.848,53.204
8,30000,54.71,Иркутск,2024-07-21,2024,1641300.0,2024-07,Иркутская область,Область,52.286,104.305
9,1230,530.45,Иркутск,2024-05-30,2024,652453.5,2024-05,Иркутская область,Область,52.286,104.305
10,240,191.35,Иркутск,2024-01-13,2024,45924.0,2024-01,Иркутская область,Область,52.286,104.305
11,370,259.768,Йошкар-Ола,2024-09-10,2024,96114.16,2024-09,Марий Эл,Республика,56.632,47.891
12,560,202.00384,Йошкар-Ола,2024-06-11,2024,113122.1504,2024-06,Марий Эл,Республика,56.632,47.891
13,15000,42.0,Йошкар-Ола,2024-02-19,2024,630000.0,2024-02,Марий Эл,Республика,56.632,47.891
14,670,150.304,Йошкар-Ола,2024-01-28,2024,100703.68,2024-01,Марий Эл,Республика,56.632,47.891
15,1500,58.788,Казань,2024-09-09,2024,88182.0,2024-09,Татарстан,Республика,55.796,49.106
16,370,521.0,Казань,2024-07-03,2024,192770.0,2024-07,Татарстан,Республика,55.796,49.106
17,450,521.0,Казань,2024-07-02,2024,234450.0,2024-07,Татарстан,Республика,55.796,49.106
18,17010,28.82804232804233,Казань,2024-02-04,2024,490365.0,2024-02,Татарстан,Республика,55.796,49.106
19,450,172.735,Калининград,2024-02-21,2024,77730.75,2024-02,Калининградская область,Область,54.71,20.51
20,6000,74.3105,Калининград,2024-02-07,2024,445863.0,2024-02,Калининградская область,Область,54.71,20.51
21,150,122.57,Калининск,2024-03-19,2024,18385.5,2024-03,Саратовская область,Область,51.5,44.475
22,4500,130.0,Калуга,2024-11-26,2024,585000.0,2024-11,Калужская область,Область,54.513,36.261
23,4500,130.0,Калуга,2024-11-26,2024,585000.0,2024-11,Калужская область,oblast,54.5333,36.2667
24,930,117.66,Калуга,2024-11-05,2024,109423.8,2024-11,Калужская область,Область,54.513,36.261
25,930,117.66,Калуга,2024-11-05,2024,109423.8,2024-11,Калужская область,oblast,54.5333,36.2667
26,750,124.0,Калуга,2024-09-29,2024,93000.0,2024-09,Калужская область,Область,54.513,36.261
27,750,124.0,Калуга,2024-09-29,2024,93000.0,2024-09,Калужская область,oblast,54.5333,36.2667
28,4500,130.0,Калуга,2024-09-19,2024,585000.0,2024-09,Калужская область,Область,54.513,36.261
29,4500,130.0,Калуга,2024-09-19,2024,585000.0,2024-09,Калужская область,oblast,54.5333,36.2667
30,300,125.0,Калуга,2024-08-14,2024,37500.0,2024-08,Калужская область,Область,54.513,36.261
31,300,125.0,Калуга,2024-08-14,2024,37500.0,2024-08,Калужская область,oblast,54.5333,36.2667
