,quantity,price,city,date,year,total,month_of_year,region,region_type,latitude,longitude
0,1650,153.28,Абакан,2024-04-07,2024,252912.0,2024-04,Республика Хакасия,Республика,53.720976,91.442423
1,260,468.9,Ижевск,2024-11-25,2024,121914.0,2024-11,Удмуртская республика,Республика,56.848,53.204
2,180,468.9,Ижевск,2024-11-21,2024,84402.0,2024-11,Удмуртская республика,Республика,56.848,53.204
3,780,184.57,Ижевск,2024-11-18,2024,143964.6,2024-11,Удмуртская республика,Республика,56.848,53.204
4,370,190.99,Ижевск,2024-11-18,2024,70666.3,2024-11,Удмуртская республика,Республика,56.848,53.204
5,5440,90.41,Ижевск,2024-05-15,2024,491830.39999999997,2024-05,Удмуртская республика,Республика,56.848,53.204
6,4360,86.56,Ижевск,2024-02-10,2024,377401.60000000003,2024-02,Удмуртская республика,Республика,56.848,53.204
7,6600,89.55,Ижевск,2024-02-04,2024,591030.0,2024-02,Удмуртская республика,Республика,56.848,53.204
8,33000,49.24,Иркутск,2024-07-21,2024,1624920.0,2024-07,Иркутская область,Область,52.286,104.305
9,1350,477.4,Иркутск,2024-05-30,2024,644490.0,2024-05,Иркутская область,Область,52.286,104.305
10,240,172.22,Иркутск,2024-01-13,2024,41332.8,2024-01,Иркутская область,Область,52.286,104.305
11,370,233.79,Йошкар-Ола,2024-09-10,2024,86502.3,2024-09,Марий Эл,Республика,56.632,47.891
12,560,181.8,Йошкар-Ола,2024-06-11,2024,101808.0,2024-06,Марий Эл,Республика,56.632,47.891
13,16500,37.8,Йошкар-Ола,2024-02-19,2024,623700.0,2024-02,Марий Эл,Республика,56.632,47.891
14,670,135.27,Йошкар-Ола,2024-01-28,2024,90630.90000000001,2024-01,Марий Эл,Республика,56.632,47.891
15,1650,52.91,Казань,2024-09-09,2024,87301.5,2024-09,Татарстан,Республика,55.796,49.106
16,370,468.9,Казань,2024-07-03,2024,173493.0,2024-07,Татарстан,Республика,55.796,49.106
17,450,468.9,Казань,2024-07-02,2024,211005.0,2024-07,Татарстан,Республика,55.796,49.106
18,18710,25.95,Казань,2024-02-04,2024,485524.5,2024-02,Татарстан,Республика,55.796,49.106
19,450,155.46,Калининград,2024-02-21,2024,69957.0,2024-02,Калининградская область,Область,54.71,20.51
