,quantity,price,city,date,year,total,month_of_year,region,region_type,latitude,longitude
0,1650,187.34,Абакан,2024-04-07,2024,309111.0,2024-04,Республика Хакасия,Республика,53.720976,91.442423
1,260,573.1,Ижевск,2024-11-25,2024,149006.0,2024-11,Удмуртская республика,Республика,56.848,53.204
2,180,573.1,Ижевск,2024-11-21,2024,103158.0,2024-11,Удмуртская республика,Республика,56.848,53.204
3,850,225.58,Ижевск,2024-11-18,2024,191743.0,2024-11,Удмуртская республика,Республика,56.848,53.204
4,370,233.43,Ижевск,2024-11-18,2024,86369.1,2024-11,Удмуртская республика,Республика,56.848,53.204
5,5440,110.5,Ижевск,2024-05-15,2024,601120.0,2024-05,Удмуртская республика,Республика,56.848,53.204
6,4360,105.79,Ижевск,2024-02-10,2024,461244.4,2024-02,Удмуртская республика,Республика,56.848,53.204
7,6600,109.45,Ижевск,2024-02-04,2024,722370.0,2024-02,Удмуртская республика,Республика,56.848,53.204
8,33000,60.18,Иркутск,2024-07-21,2024,1985940.0,2024-07,Иркутская область,Область,52.286,104.305
9,1350,583.5,Иркутск,2024-05-30,2024,787725.0,2024-05,Иркутская область,Область,52.286,104.305
10,240,210.48,Иркутск,2024-01-13,2024,50515.2,2024-01,Иркутская область,Область,52.286,104.305
11,370,285.74,Йошкар-Ола,2024-09-10,2024,105723.8,2024-09,Марий Эл,Республика,56.632,47.891
12,610,222.2,Йошкар-Ола,2024-06-11,2024,135542.0,2024-06,Марий Эл,Республика,56.632,47.891
13,16500,46.2,Йошкар-Ола,2024-02-19,2024,762300.0,2024-02,Марий Эл,Республика,56.632,47.891
14,730,165.33,Йошкар-Ола,2024-01-28,2024,120690.90000000001,2024-01,Марий Эл,Республика,56.632,47.891
15,1650,64.67,Казань,2024-09-09,2024,106705.5,2024-09,Татарстан,Республика,55.796,49.106
16,370,573.1,Казань,2024-07-03,2024,212047.0,2024-07,Татарстан,Республика,55.796,49.106
17,450,573.1,Казань,2024-07-02,2024,257895.0,2024-07,Татарстан,Республика,55.796,49.106
18,18710,31.71,Казань,2024-02-04,2024,593294.1,2024-02,Татарстан,Республика,55.796,49.106
19,450,190.01,Калининград,2024-02-21,2024,85504.5,2024-02,Калининградская область,Область,54.71,20.51
20,6600,81.74,Калининград,2024-02-07,2024,539484.0,2024-02,Калининградская область,Область,54.71,20.51
21,150,134.83,Калининск,2024-03-19,2024,20224.500000000004,2024-03,Саратовская область,Область,51.5,44.475
22,4950,143.0,Калуга,2024-11-26,2024,707850.0,2024-11,Калужская область,Область,54.513,36.261
23,4950,143.0,Калуга,2024-11-26,2024,707850.0,2024-11,Калужская область,oblast,54.5333,36.2667
24,1020,129.43,Калуга,2024-11-05,2024,132018.6,2024-11,Калужская область,Область,54.513,36.261
25,1020,129.43,Калуга,2024-11-05,2024,132018.6,2024-11,Калужская область,oblast,54.5333,36.2667
26,820,136.4,Калуга,2024-09-29,2024,111848.0,2024-09,Калужская область,Область,54.513,36.261
27,820,136.4,Калуга,2024-09-29,2024,111848.0,2024-09,Калужская область,oblast,54.5333,36.2667
28,4950,143.0,Калуга,2024-09-19,2024,707850.0,2024-09,Калужская область,Область,54.513,36.261
29,4950,143.0,Калуга,2024-09-19,2024,707850.0,2024-09,Калужская область,oblast,54.5333,36.2667
30,300,137.5,Калуга,2024-08-14,2024,41250.0,2024-08,Калужская область,Область,54.513,36.261
31,300,137.5,Калуга,2024-08-14,2024,41250.0,2024-08,Калужская область,oblast,54.5333,36.2667
32,70,231.0,Калуга,2024-08-08,2024,16170.0,2024-08,Калужская область,Область,54.513,36.261
33,70,231.0,Калуга,2024-08-08,2024,16170.0,2024-08,Калужская область,oblast,54.5333,36.2667
34,1020,573.1,Калуга,2024-08-15,2024,584562.0,2024-08,Калужская область,Область,54.513,36.261
35,1020,573.1,Калуга,2024-08-15,2024,584562.0,2024-08,Калужская область,oblast,54.5333,36.2667
36,7090,209.98,Калуга,2024-08-13,2024,1488758.2,2024-08,Калужская область,Область,54.513,36.261
37,7090,209.98,Калуга,2024-08-13,2024,1488758.2,2024-08,Калужская область,oblast,54.5333,36.2667
38,480,130.69,Калуга,2024-06-04,2024,62731.2,2024-06,Калужская область,Область,54.513,36.261
39,480,130.69,Калуга,2024-06-04,2024,62731.2,2024-06,Калужская область,oblast,54.5333,36.2667
40,330,118.8,Калуга,2024-05-13,2024,39204.0,2024-05,Калужская область,Область,54.513,36.261
41,330,118.8,Калуга,2024-05-13,2024,39204.0,2024-05,Калужская область,oblast,54.5333,36.2667
42,4950,143.0,Калуга,2024-04-22,2024,707850.0,2024-04,Калужская область,Область,54.513,36.261
43,4950,143.0,Калуга,2024-04-22,2024,707850.0,2024-04,Калужская область,oblast,54.5333,36.2667
44,300,99.0,Калуга,2024-04-01,2024,29700.0,2024-04,Калужская область,Область,54.513,36.261
45,300,99.0,Калуга,2024-04-01,2024,29700.0,2024-04,Калужская область,oblast,54.5333,36.2667
46,150,126.5,Калуга,2024-03-26,2024,18975.0,2024-03,Калужская область,Область,54.513,36.261
47,150,126.5,Калуга,2024-03-26,2024,18975.0,2024-03,Калужская область,oblast,54.5333,36.2667
